id,name,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"2JoJrsEV15OzbijS47lids","Today Was A Fairytale (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"4CHpVfAhuxNJ3ibExe6kxO","You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",10,0,0,0,1,1
"2CYVETnhM9aytqrazYYwrK","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",10,0,0,0,1,1
"34V9RiEPe8MNdU32qJsJa1","We Were Happy (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",10,0,0,0,1,1
"7eResoqEJJAVTkQYSqvO3P","That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",10,0,0,0,1,1
"4uuEGH5SVuzkkSFjo2DEiY","Don’t You (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",10,0,0,0,1,1
"4qUijfYU8EoIWiY6oSyrgT","Bye Bye Baby (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",10,0,0,0,1,1
"6lzc0Al0zfZOIFsFvBS1ki","State Of Grace (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"4OAuvHryIVv4kMDNSLuPt6","Red (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"3S7HNKPakdwNEBFIVTL6dZ","Treacherous (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"6AtZLIzUINvExIUy4QhdjP","I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"3nsfB1vus2qaloUdcBZvDu","All Too Well (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"3yII7UwgLF6K5zW3xad3MP","22 (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"2r9CbjYgFhtAmcFv1cSquB","I Almost Do (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"5YqltLsjdqFtvqE7Nrysvs","We Are Never Ever Getting Back Together (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"7eQj6r5PIdYKEIZjucBMcq","Stay Stay Stay (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"0y6kdSRCVQhSsHSpWvTUm7","The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Red (Taylor's Version)",11,0,0,0,0,1
"7J4b3LVCIGO4CMBDFLPoP6","Holy Ground (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"73qMN9bXy7MSPwwGfH3wQr","Sad Beautiful Tragic (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"4e5ayHsOLJNLTGfjau2mEw","The Lucky One (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"7qEUFOVcxRI19tbT68JcYK","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Red (Taylor's Version)",11,0,0,0,0,1
"7A2cNLRT0YJc1yjxHlKihs","Starlight (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"05GsNucq8Bngd9fnd4fRa0","Begin Again (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"0NRHj8hDwwmSPaA41o379r","The Moment I Knew (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"4pNApnaUWAL2J4KO2eqokq","Come Back...Be Here (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"0DMVrlMUn01M0IcpDbwgu7","Girl At Home (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"5jAIouBES8LWMiriuNq170","State Of Grace (Acoustic Version) (Taylor's Version)","Red (Taylor's Version)",11,1,0,0,0,1
"7nWui6jiMM2m9qFmET1Mtj","Ronan (Taylor's Version)","Red (Taylor's Version)",11,0,0,0,0,1
"4OmFmE0fzcMG6g0Y8p4eSD","Better Man (Taylor's Version) (From The Vault)","Red (Taylor's Version)",11,0,0,0,1,1
"01K4zKU104LyJ8gMb7227B","Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)",11,0,0,0,1,1
"0v4z1tuZvn6LGknom9Qx7d","Babe (Taylor's Version) (From The Vault)","Red (Taylor's Version)",11,0,0,0,1,1
"3z6XUommYDWPHeFhmhhT6j","Message In A Bottle (Taylor's Version) (From The Vault)","Red (Taylor's Version)",11,0,1,0,1,1
"4CkgMiMqZ5JzW9iYXSTMTL","I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)",11,0,1,0,1,1
"3oGVx9RBmiYGv5ZCecWLkx","Forever Winter (Taylor's Version) (From The Vault)","Red (Taylor's Version)",11,0,0,0,1,1
"4IQkfUsrwXol38VV3U7t7T","Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)",11,0,0,0,1,1
"6pYNq0ZwpPVazKzsqpf0G8","The Very First Night (Taylor's Version) (From The Vault)","Red (Taylor's Version)",11,0,0,0,1,1
"5enxwA8aAbwZbf5qCHORXi","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)",11,1,0,0,1,1
"4g2c7NoTWAOSYDy44l9nub","Lavender Haze","Midnights (3am Edition)",12,0,1,0,0,0
"199E1RRrVmVTQqBXih5qRC","Maroon","Midnights (3am Edition)",12,0,0,0,0,0
"02Zkkf2zMkwRGQjZ7T4p8f","Anti-Hero","Midnights (3am Edition)",12,0,1,0,0,0
"6ADDIJxxqzM9LMpm78yzQG","Snow On The Beach (feat. Lana Del Rey)","Midnights (3am Edition)",12,0,0,0,0,0
"7gVWKBcfIW93YxNBi3ApIE","You're On Your Own, Kid","Midnights (3am Edition)",12,0,0,0,0,0
"6Nl7KyvjkFncGsjB49SxLl","Midnight Rain","Midnights (3am Edition)",12,0,0,0,0,0
"6C7OF1Jal7YkyjzyUG8vkK","Question...?","Midnights (3am Edition)",12,0,0,0,0,0
"5yeuXkukVGuix3vmLu2BPJ","Vigilante Shit","Midnights (3am Edition)",12,0,0,0,0,0
"0jvo9CjnbR0lYUDTSNTMiu","Bejeweled","Midnights (3am Edition)",12,0,0,0,0,0
"43q586vP8gGkYypKoSddhl","Labyrinth","Midnights (3am Edition)",12,0,0,0,0,0
"5oqDgw5VGBln5dSIOPWyBq","Karma","Midnights (3am Edition)",12,0,0,0,0,0
"3zmwONxswBAzGwExPugSLN","Sweet Nothing","Midnights (3am Edition)",12,0,0,0,0,0
"56hioFjQ0DXrdn04hZcFgG","Mastermind","Midnights (3am Edition)",12,0,0,0,0,0
"3UMrglJeju5yWyYIW6o99b","The Great War","Midnights (3am Edition)",12,0,0,1,0,0
"0BiqmkasE5FdrChwKfVp8X","Bigger Than The Whole Sky","Midnights (3am Edition)",12,0,0,1,0,0
"7712gjoih4QoDbXpljEk21","Paris","Midnights (3am Edition)",12,0,0,1,0,0
"5kiZGSxgqPdv6rbqL9THdd","High Infidelity","Midnights (3am Edition)",12,0,0,1,0,0
"6wAFvJPpTZVirBKGZ4EnMW","Glitch","Midnights (3am Edition)",12,0,0,1,0,0
"0aV5uARAknQgYhBaK944FP","Would've, Could've, Should've","Midnights (3am Edition)",12,0,0,1,0,0
"3QF5RsWzK1lCvf2o2cY65P","Dear Reader","Midnights (3am Edition)",12,0,0,1,0,0
