id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"6JlI8Ay77m4nJvZTHvfT1J","peace",58,"folklore (deluxe version)",8,0,0,0,0,0
"0YeDG5HnKnG7jpArkzsSPa","hoax",71,"folklore (deluxe version)",8,0,0,0,0,0
"0eFQWVz0qIxDOvhLpZ40P7","the lakes",0,"folklore (deluxe version)",8,0,0,1,0,0
"2gVhfX2Gy1T9kDuS9azrF7","willow",1,"evermore (deluxe version)",9,0,1,0,0,0
"1gcyHQpBQ1lfXGdhZmWrHP","champagne problems",21,"evermore (deluxe version)",9,0,0,0,0,0
"3Dby3p1m6IOZn2gIIqECgK","gold rush",40,"evermore (deluxe version)",9,0,0,0,0,0
"6sQckd3Z8NPxVVKUnavY1F","'tis the damn season",39,"evermore (deluxe version)",9,0,0,0,0,0
"6lCvK2AR2uOKkVFCVlAzzm","tolerate it",45,"evermore (deluxe version)",9,0,0,0,0,0
"6uwfVkaOM1mcMkFmSn35ix","no body, no crime",34,"evermore (deluxe version)",9,0,1,0,0,0
"55Vf4bimc1Rtfg0PAQRAo2","happiness",52,"evermore (deluxe version)",9,0,0,0,0,0
"66tOfHVH3aUrscg8vExRV4","dorothea",67,"evermore (deluxe version)",9,0,0,0,0,0
"2awNGIJHodfLZSClB3PYhz","coney island",63,"evermore (deluxe version)",9,0,1,0,0,0
"43Ykum9T72UOPhBN31grpN","ivy",61,"evermore (deluxe version)",9,0,0,0,0,0
"52OkpDsU6MmPx1AwGOb6Ap","cowboy like me",71,"evermore (deluxe version)",9,0,0,0,0,0
"5VYWxXUpxuxEmCqMLDqICo","long story short",68,"evermore (deluxe version)",9,0,0,0,0,0
"5uICWmZTLkpEVbK22PBP6e","marjorie",75,"evermore (deluxe version)",9,0,0,0,0,0
"6a8aUhYbaQBUI8PcJ5ZmQ6","closure",82,"evermore (deluxe version)",9,0,0,0,0,0
"6Wlq9rqkxrqj5Kls4Kw14H","evermore",57,"evermore (deluxe version)",9,0,0,0,0,0
